play_name,act,character,anger,disgust,fear,neutral,sadness,joy,surprise
Two Gentlemen of Verona,4,Silvia,0,1.0,0.0,0,2.0,0.0,
Two Gentlemen of Verona,5,Julia,1,0.0,0.0,0,1.0,0.0,
Two Gentlemen of Verona,5,Proteus,0,0.0,0.0,1,1.0,0.0,
Two Gentlemen of Verona,5,Silvia,0,0.0,1.0,0,2.0,0.0,
Winter's Tale,1,Camillo,0,,1.0,1,0.0,,
Winter's Tale,1,Leontes,0,,0.0,1,0.0,,
Winter's Tale,2,Leontes,2,,0.0,0,0.0,,
Winter's Tale,2,Paulina,1,,1.0,0,0.0,,
Winter's Tale,3,Leontes,1,,0.0,0,0.0,,
Winter's Tale,3,Paulina,0,,0.0,0,1.0,,
Winter's Tale,4,Camillo,0,,1.0,0,1.0,,
Winter's Tale,5,Camillo,0,,0.0,0,1.0,,
Winter's Tale,5,Leontes,1,,0.0,0,1.0,,
Winter's Tale,5,Paulina,0,,1.0,0,1.0,,
